CHARACTER		DECIMAL		UNICODE
؀			1536		\u0600
؁			1537		\u0601
؂			1538		\u0602
؃			1539		\u0603
؄			1540		\u0604
؅			1541		\u0605
؆			1542		\u0606
؇			1543		\u0607
؈			1544		\u0608
؉			1545		\u0609
؊			1546		\u060a
؋			1547		\u060b
،			1548		\u060c
؍			1549		\u060d
؎			1550		\u060e
؏			1551		\u060f
ؐ			1552		\u0610
ؑ			1553		\u0611
ؒ			1554		\u0612
ؓ			1555		\u0613
ؔ			1556		\u0614
ؕ			1557		\u0615
ؖ			1558		\u0616
ؗ			1559		\u0617
ؘ			1560		\u0618
ؙ			1561		\u0619
ؚ			1562		\u061a
؛			1563		\u061b
؜			1564		\u061c
؝			1565		\u061d
؞			1566		\u061e
؟			1567		\u061f
ؠ			1568		\u0620
ء			1569		\u0621
آ			1570		\u0622
أ			1571		\u0623
ؤ			1572		\u0624
إ			1573		\u0625
ئ			1574		\u0626
ا			1575		\u0627
ب			1576		\u0628
ة			1577		\u0629
ت			1578		\u062a
ث			1579		\u062b
ج			1580		\u062c
ح			1581		\u062d
خ			1582		\u062e
د			1583		\u062f
ذ			1584		\u0630
ر			1585		\u0631
ز			1586		\u0632
س			1587		\u0633
ش			1588		\u0634
ص			1589		\u0635
ض			1590		\u0636
ط			1591		\u0637
ظ			1592		\u0638
ع			1593		\u0639
غ			1594		\u063a
ػ			1595		\u063b
ؼ			1596		\u063c
ؽ			1597		\u063d
ؾ			1598		\u063e
ؿ			1599		\u063f
ـ			1600		\u0640
ف			1601		\u0641
ق			1602		\u0642
ك			1603		\u0643
ل			1604		\u0644
م			1605		\u0645
ن			1606		\u0646
ه			1607		\u0647
و			1608		\u0648
ى			1609		\u0649
ي			1610		\u064a
ً			1611		\u064b
ٌ			1612		\u064c
ٍ			1613		\u064d
َ			1614		\u064e
ُ			1615		\u064f
ِ			1616		\u0650
ّ			1617		\u0651
ْ			1618		\u0652
ٓ			1619		\u0653
ٔ			1620		\u0654
ٕ			1621		\u0655
ٖ			1622		\u0656
ٗ			1623		\u0657
٘			1624		\u0658
ٙ			1625		\u0659
ٚ			1626		\u065a
ٛ			1627		\u065b
ٜ			1628		\u065c
ٝ			1629		\u065d
ٞ			1630		\u065e
ٟ			1631		\u065f
٠			1632		\u0660
١			1633		\u0661
٢			1634		\u0662
٣			1635		\u0663
٤			1636		\u0664
٥			1637		\u0665
٦			1638		\u0666
٧			1639		\u0667
٨			1640		\u0668
٩			1641		\u0669
